benchmark;elements;avg time;flops;gflops
emm_numpy;128;0.000200644016266;2097152;10.4521033771
emm_numpy;256;0.000598546981812;16777216;28.0299066069
emm_numpy;384;0.00151295018196;56623104;37.4256235765
emm_numpy;512;0.00199611592293;134217728;67.2394455945
emm_numpy;640;0.00365711903572;262144000;71.6804669029
emm_numpy;768;0.00600737595558;452984832;75.4047749549
emm_numpy;896;0.008293435812;719323136;86.7340330722
emm_numpy;1024;0.0118819999695;1073741824;90.3670953339
emm_numpy;1152;0.013859128952;1528823808;110.311680719
emm_numpy;1280;0.0182682704926;2097152000;114.79751194
emm_numpy;1408;0.0310330510139;2791309312;89.9463385262
emm_numpy;1536;0.0253076505661;3623878656;143.193009819
emm_numpy;1664;0.0297734212875;4607442944;154.750201514
emm_numpy;1792;0.039211230278;5754585088;146.758595617
emm_numpy;1920;0.042641119957;7077888000;165.987385114
emm_numpy;2048;0.0706869101524;8589934592;121.520866784
emm_numpy;2176;0.0879419898987;10303307776;117.16027563
emm_numpy;2304;0.11355340004;12230590464;107.707831379
emm_numpy;2432;0.128424968719;14384365568;112.005988488
emm_numpy;2560;0.145404269695;16777216000;115.383241738
emm_numpy;2688;0.164608588219;19421724672;117.987310882
emm_numpy;2816;0.18573348999;22330474496;120.228583963
emm_numpy;2944;0.210535209179;25516048384;121.196110064
emm_numpy;3072;0.232973499298;28991029248;124.43917156
emm_numpy;3200;0.263841612339;32768000000;124.195723751
emm_numpy;3328;0.291754059792;36859543552;126.33772287
emm_numpy;3456;0.317466139793;41278242816;130.024080183
emm_numpy;3584;0.354743070602;46036680704;129.774714488
emm_numpy;3712;0.385587790012;51147440128;132.647976551
emm_numpy;3840;0.414247870445;56623104000;136.688944084
emm_numpy;3968;0.453055160046;62476255232;137.899886684
emm_numpy;4096;0.566840639114;68719476736;121.232445231
emm_numpy;4224;0.531549599171;75365351424;141.784231503
emm_numpy;4352;0.581981921196;82426462208;141.630623231
emm_numpy;4480;0.629739000797;89915392000;142.781996805
emm_numpy;4608;0.670042939186;97844723712;146.0275424
emm_numpy;4736;0.730280659199;106227040256;145.460569054
emm_numpy;4864;0.783803241253;115074924544;146.816086599
emm_numpy;4992;0.818919911385;124400959488;151.90857831
emm_numpy;5120;0.892469949722;134217728000;150.38907253
emm_numpy;5248;0.93373488903;144537812992;154.795343614
emm_numpy;5376;0.966864438057;155373797376;160.698637017
emm_numpy;5504;1.03764683962;166738264064;160.688837182
emm_numpy;5632;1.10889365911;178643795968;161.100926585
emm_numpy;5760;1.1706199193;191102976000;163.249379965
emm_numpy;5888;1.24679568052;204128387072;163.72240477
emm_numpy;6016;1.31991765022;217732612096;164.959239737
emm_numpy;6144;1.40887437105;231928233984;164.619528007
emm_numpy;6272;1.4666528511;246727835648;168.225108936
emm_numpy;6400;1.55218524933;262144000000;168.887057852
emm_numpy;6528;1.6070896101;278189309952;173.101305742
emm_numpy;6656;1.70588683128;294876348416;172.858095278
emm_numpy;6784;1.81524652004;312217698304;171.997409088
emm_numpy;6912;1.87343871117;330225942528;176.267278219
emm_numpy;7040;1.98358344078;348913664000;175.900673915
emm_numpy;7168;2.09436871052;368293445632;175.849383054
emm_numpy;7296;2.09565717936;388377870336;185.32509714
emm_numpy;7424;2.28810170889;409179521024;178.829253715
emm_numpy;7552;2.24715551138;430710980608;191.669414256
emm_numpy;7680;2.50582942963;452984832000;180.772412777
emm_numpy;7808;2.58140057087;476013658112;184.401314342
emm_numpy;7936;2.69639312983;499810041856;185.362451909
emm_numpy;8064;2.79785079956;524386566144;187.424778414
emm_numpy;8192;3.6546489954;549755813888;150.42643345
